chr	start	end	het_ratio	het_length
chr10_MATERNAL	39056061	39057741	13	1680
chr10_MATERNAL	39062489	39063219	10	730
chr10_MATERNAL	39063944	39065873	10	1929
chr10_MATERNAL	39078761	39079754	19.2	993
chr10_MATERNAL	39139688	39140579	10	891
chr10_MATERNAL	39174401	39175197	11.8	796
chr10_MATERNAL	39714477	39714842	31.8	365
chr10_MATERNAL	39726666	39728205	10	1539
chr10_MATERNAL	39730490	42448976	10.4	2718486
chr10_MATERNAL	42567223	42570288	18.5	3065
chr10_MATERNAL	42573892	42574517	12.5	625
chr10_MATERNAL	42575627	42578699	12.5	3072
chr10_MATERNAL	42581465	42583471	11.5	2006
chr10_MATERNAL	42585529	42588512	11.5	2983
chr10_MATERNAL	42589563	42590058	12	495
chr10_MATERNAL	42591039	42598957	11.5	7918
chr10_MATERNAL	42600819	42606931	13.6	6112
chr10_MATERNAL	42611592	42612045	18.2	453
chr10_MATERNAL	42614035	42615924	12.5	1889
chr10_MATERNAL	42617823	42621323	13.6	3500
chr10_MATERNAL	42622590	42623140	14.3	550
chr10_MATERNAL	42628346	42631354	10	3008
chr10_MATERNAL	42633714	42634742	13.6	1028
chr10_MATERNAL	42636532	42652975	10	16443
chr10_MATERNAL	42653570	42658072	10	4502
chr10_MATERNAL	42658759	42659539	14.3	780
chr10_MATERNAL	42660727	42662574	10	1847
chr10_MATERNAL	42666512	42667108	13	596
chr10_MATERNAL	42667974	42669004	21.7	1030
chr10_MATERNAL	42670153	42671634	17.4	1481
chr10_MATERNAL	42673015	42681810	10	8795
chr10_MATERNAL	42682424	42706040	10.5	23616
chr10_MATERNAL	42707086	42710624	11.1	3538
chr10_MATERNAL	42711436	42716070	10.5	4634
chr10_MATERNAL	42716978	42719106	16.7	2128
chr10_MATERNAL	42719903	42720939	11.8	1036
chr10_MATERNAL	42724414	42725302	12.5	888
chr10_MATERNAL	42725980	42728949	25	2969
chr10_MATERNAL	42729719	42730793	12.5	1074
chr10_MATERNAL	42731574	42732092	12.5	518
chr10_MATERNAL	42732940	42733660	13.3	720
chr10_MATERNAL	42734321	42735168	11.8	847
chr10_MATERNAL	42736781	42738579	11.8	1798
chr10_MATERNAL	42739698	42740662	11.8	964
chr10_MATERNAL	42741232	42741976	11.8	744
chr10_MATERNAL	42743249	42744786	11.1	1537
chr10_MATERNAL	42746096	42747185	11.1	1089
chr10_MATERNAL	42747936	42748969	12.5	1033
chr10_MATERNAL	42749661	42749792	11.8	131
chr10_MATERNAL	42750834	42753573	11.8	2739
chr10_MATERNAL	42754463	42755110	11.8	647
chr10_MATERNAL	42757114	42758808	11.1	1694
chr10_MATERNAL	42759424	42759985	16.7	561
chr10_MATERNAL	42760587	42764775	11.8	4188
chr10_MATERNAL	42766267	42767674	11.8	1407
chr10_MATERNAL	42769267	42771330	13.3	2063
chr10_MATERNAL	42772304	42785814	20	13510
chr10_MATERNAL	42786554	42787874	12.5	1320
chr10_MATERNAL	42788562	42788923	12.5	361
chr10_MATERNAL	42789844	42819581	20	29737
chr10_MATERNAL	42820419	42820796	23.5	377
chr10_MATERNAL	42821494	42857626	12.5	36132
chr10_MATERNAL	42858352	42936646	13.3	78294
chr10_MATERNAL	42939671	42944631	22.7	4960
chr10_MATERNAL	42947126	42947587	13	461
chr10_MATERNAL	42948125	42949839	12.5	1714
chr10_MATERNAL	42950670	42951509	17.4	839
chr10_MATERNAL	42952175	42953542	13	1367
chr10_MATERNAL	42954334	42956190	13.6	1856
chr10_MATERNAL	42959116	42960096	12	980
chr10_MATERNAL	42960819	42961184	12	365
chr10_MATERNAL	42961891	42963401	12.5	1510
chr10_MATERNAL	42967328	42970099	13	2771
chr10_MATERNAL	42970915	42973477	12.5	2562
chr10_MATERNAL	42974190	42976266	12	2076
chr10_MATERNAL	42976960	42979859	11.5	2899
chr10_MATERNAL	42980676	42988574	10.7	7898
chr10_MATERNAL	42997034	42998788	11.1	1754
chr10_MATERNAL	43001694	43002378	14.3	684
chr10_MATERNAL	43014780	43023794	14.8	9014
chr10_MATERNAL	43024559	43027959	10	3400
chr10_MATERNAL	43033036	43033212	16.1	176
chr10_MATERNAL	43045675	43046699	10	1024
chr10_MATERNAL	43047834	43048938	10	1104
chr10_MATERNAL	43050668	43051557	13.8	889
chr10_MATERNAL	43059265	43059801	14.3	536
chr10_MATERNAL	43060991	43061801	10.7	810
chr10_MATERNAL	43062467	43063109	10	642
chr10_MATERNAL	43074826	43076517	10	1691
chr10_MATERNAL	43081231	43083548	10.3	2317
chr10_MATERNAL	43089885	43091075	14.3	1190
chr10_MATERNAL	43107183	43107786	14.7	603
chr10_MATERNAL	43108458	43108969	12.5	511
chr10_MATERNAL	43109870	43110075	16.7	205
chr10_MATERNAL	43116614	43118125	18.8	1511
chr10_MATERNAL	43127820	43130626	10	2806
chr10_MATERNAL	43139020	43140748	10	1728
chr10_MATERNAL	43142088	43143571	10.3	1483
chr10_MATERNAL	43144341	43146187	11.5	1846
chr10_MATERNAL	43147429	43148891	11.1	1462
chr10_MATERNAL	43149623	43154246	11.1	4623
chr10_MATERNAL	43154802	43156021	11.5	1219
chr10_MATERNAL	43156986	43158042	11.5	1056
chr10_MATERNAL	43158818	43159828	11.5	1010
chr10_MATERNAL	43162479	43164698	12	2219
chr10_MATERNAL	43165905	43168067	13	2162
chr10_MATERNAL	43169709	43174665	16.7	4956
chr10_MATERNAL	43175967	43178746	13.6	2779
chr10_MATERNAL	43179366	43181096	13.6	1730
chr10_MATERNAL	43181851	43183017	10	1166
chr10_MATERNAL	43183841	43187971	10	4130
chr10_MATERNAL	43188640	43218328	10	29688
chr10_MATERNAL	43219119	43220709	33.3	1590
chr10_MATERNAL	43221726	43225692	40	3966
chr10_MATERNAL	43226466	43232301	40	5835
chr10_MATERNAL	43241455	43241475	40	20
chr10_MATERNAL	43243354	43248118	11.8	4764
chr10_MATERNAL	43248676	43250673	11.1	1997
chr10_MATERNAL	43251280	43258509	11.1	7229
chr10_MATERNAL	43259134	43263359	10.5	4225
chr10_MATERNAL	43263869	43265103	10.5	1234
chr10_MATERNAL	43275975	43277428	12	1453
chr10_MATERNAL	43280631	43281305	16	674
chr10_MATERNAL	43284664	43286602	16	1938
chr10_MATERNAL	43288887	43289808	12	921
chr10_MATERNAL	43308398	43309529	14.3	1131
chr10_MATERNAL	43320127	43321158	11.1	1031
chr10_MATERNAL	43327624	43328611	10.3	987
chr10_MATERNAL	43329655	43330650	12.9	995
chr10_MATERNAL	43335064	43335929	13.3	865
chr10_MATERNAL	43371155	43372072	12.1	917
chr10_MATERNAL	43416009	43416240	10.3	231
chr10_MATERNAL	43502941	43504714	10.8	1773
chr10_MATERNAL	43570108	43570478	10.5	370
chr10_MATERNAL	43622737	43623611	10.7	874
chr10_MATERNAL	43625876	43626974	13.3	1098
chr10_MATERNAL	43627903	43629246	10	1343
chr10_MATERNAL	43633202	43633541	11.4	339
chr10_MATERNAL	43635604	43636330	11.1	726
chr10_MATERNAL	43640507	43641998	10.8	1491
chr10_MATERNAL	43644402	43645054	13.5	652
chr10_MATERNAL	43647859	43648745	10.5	886
chr10_MATERNAL	45243341	45244411	10.7	1070
chr10_MATERNAL	45350062	45351028	11.1	966
chr10_MATERNAL	45365978	45366949	10.7	971
